184.55	11.603	18.05	16.53	15.35	15.03	15.78	0.059
136.92	16.12	19.14	17.69	16.52	16.22	16.92	0.096
147.73	8.474	18.36	16.87	15.7	15.38	16.07	0.093
175.56	11.308	18.03	16.84	15.76	15.49	16.15	0.098
157.51	10.004	20.1	18.32	16.93	16.6	17.33	0.123
150.68	6.459	18.33	16.71	15.48	15.19	15.97	0.07
208.56	19.718	20.51	18.55	17.02	16.69	17.52	0.149
172.14	16.836	20.04	18.32	16.88	16.49	17.36	0.107
197.81	8.445	19.12	17.15	15.81	15.49	16.22	0.094
144	5.949	19.27	17.41	16.11	15.8	16.52	0.07
178.54	9.304	18.71	17.01	15.68	15.37	16.16	0.064
286.68	44.765	21.3	19.12	17.38	17	17.38	0.189
135.84	8.979	17.85	16.34	15.22	14.98	15.62	0.063
259.92	11.072	20.65	18.72	16.99	16.61	17.48	0.176
171.69	10.295	19.96	18.25	16.85	16.51	20.11	0.116
164.28	21.328	20.05	18.17	16.59	16.16	17.15	0.083
149.45	9.124	17.75	16.43	14.95	14.86	15.55	0.082
135.02	13.419	19.93	18.19	16.68	16.32	17.16	0.135
196.64	10.965	19.36	17.48	15.95	15.64	16.46	0.123
51.2	17.992	18.83	17.32	16.18	15.82	16.6	0.049
105.72	12.642	19.26	17.79	16.66	16.35	17.07	0.072
126.74	7.125	16.51	14.73	13.25	12.82	13.78	0.024
86.18	11.295	19	17.42	16.26	16.02	16.66	0.085
131.87	7.361	18.26	16.49	15.24	14.93	15.64	0.059
135.03	7.481	17.66	16.11	14.87	14.52	15.31	0.05
94.38	7.936	18.19	16.78	15.72	15.42	15.31	0.063
130.69	8.905	19.03	17.26	15.91	15.55	16.4	0.072
127.15	7.699	17.5	15.88	14.66	14.29	15.07	0.041
105.73	6.777	17.11	15.54	14.3	13.93	14.73	0.036
118.73	13.702	19.78	18.41	17.2	16.89	17.66	0.104
100.39	11.717	17.27	15.91	14.91	14.69	17.43	0.053
118.4	4.061	17.52	15.94	14.81	14.5	15.22	0.045
